arm_length_m,test_mass_kg,snr_year
1230.0,93.0,2.6739685257967095e-10
1230.0,94.0,2.673968668831054e-10
1230.0,95.0,2.6739688073723613e-10
1230.0,96.0,2.673968941606863e-10
1230.0,97.0,2.6739690717112375e-10
1230.0,98.0,2.6739691978531996e-10
1230.0,99.0,2.6739693201920335e-10
1230.0,100.0,2.6739694388790997e-10
1240.0,10.0,2.674591776993761e-10
1240.0,11.0,2.6746901353266603e-10
1240.0,12.0,2.6747649521710626e-10
1240.0,13.0,2.6748231816131154e-10
1240.0,14.0,2.674869387598868e-10
1240.0,15.0,2.6749066659755215e-10
1240.0,16.0,2.6749371767550223e-10
1240.0,17.0,2.67496246413378e-10
1240.0,18.0,2.6749836557554654e-10
1240.0,19.0,2.675001590617551e-10
1240.0,20.0,2.6750169033974436e-10
1240.0,21.0,2.6750300813773336e-10
1240.0,22.0,2.6750415036904145e-10
1240.0,23.0,2.6750514688955667e-10
1240.0,24.0,2.6750602146851183e-10
1240.0,25.0,2.675067932189929e-10
1240.0,26.0,2.6750747765104356e-10
1240.0,27.0,2.675080874570149e-10
1240.0,28.0,2.67508633104226e-10
1240.0,29.0,2.675091232871307e-10
1240.0,30.0,2.6750956527580416e-10
1240.0,31.0,2.6750996518705453e-10
1240.0,32.0,2.6751032819718665e-10
1240.0,33.0,2.6751065871034253e-10
1240.0,34.0,2.675109604927086e-10
1240.0,35.0,2.675112367802783e-10
1240.0,36.0,2.675114903659593e-10
1240.0,37.0,2.6751172367043194e-10
1240.0,38.0,2.6751193880013037e-10
1240.0,39.0,2.6751213759495413e-10
1240.0,40.0,2.675123216677382e-10
1240.0,41.0,2.6751249243706787e-10
1240.0,42.0,2.6751265115469105e-10
1240.0,43.0,2.675127989285223e-10
1240.0,44.0,2.675129367420289e-10
1240.0,45.0,2.67513065470636e-10
1240.0,46.0,2.675131858956629e-10
1240.0,47.0,2.675132987162065e-10
1240.0,48.0,2.675134045593101e-10
1240.0,49.0,2.675135039886945e-10
1240.0,50.0,2.6751359751227964e-10
1240.0,51.0,2.675136855886839e-10
1240.0,52.0,2.67513768632857e-10
1240.0,53.0,2.675138470209764e-10
1240.0,54.0,2.675139210947147e-10
1240.0,55.0,2.6751399116496915e-10
1240.0,56.0,2.6751405751512895e-10
1240.0,57.0,2.6751412040394516e-10
1240.0,58.0,2.6751418006805737e-10
1240.0,59.0,2.675142367242225e-10
1240.0,60.0,2.6751429057128673e-10
1240.0,61.0,2.675143417919324e-10
1240.0,62.0,2.675143905542293e-10
1240.0,63.0,2.675144370130155e-10
1240.0,64.0,2.675144813111278e-10
1240.0,65.0,2.6751452358050067e-10
1240.0,66.0,2.6751456394315037e-10
1240.0,67.0,2.6751460251205576e-10
1240.0,68.0,2.675146393919503e-10
1240.0,69.0,2.675146746800336e-10
1240.0,70.0,2.675147084666122e-10
1240.0,71.0,2.675147408356787e-10
1240.0,72.0,2.6751477186543315e-10
1240.0,73.0,2.67514801628757e-10
1240.0,74.0,2.675148301936405e-10
1240.0,75.0,2.675148576235719e-10
1240.0,76.0,2.675148839778902e-10
1240.0,77.0,2.6751490931210636e-10
1240.0,78.0,2.675149336781961e-10
1240.0,79.0,2.675149571248664e-10
1240.0,80.0,2.675149796977994e-10
1240.0,81.0,2.675150014398749e-10
1240.0,82.0,2.675150223913738e-10
1240.0,83.0,2.675150425901655e-10
1240.0,84.0,2.6751506207187887e-10
1240.0,85.0,2.675150808700591e-10
1240.0,86.0,2.675150990163126e-10
1240.0,87.0,2.6751511654043987e-10
1240.0,88.0,2.6751513347055795e-10
1240.0,89.0,2.675151498332131e-10
1240.0,90.0,2.675151656534852e-10
1240.0,91.0,2.6751518095508337e-10
1240.0,92.0,2.675151957604358e-10
1240.0,93.0,2.675152100907707e-10
1240.0,94.0,2.6751522396619396e-10
1240.0,95.0,2.6751523740575823e-10
1240.0,96.0,2.6751525042752934e-10
1240.0,97.0,2.675152630486467e-10
1240.0,98.0,2.675152752853796e-10
