source_id,x_m,y_m,z_m,distance_to_detector_m,distance_offset_m,propagation_compensation_s,theta_src,phi_src,theta_rot,phi_rot,gw_phase_offset_rad,rotor_phase_offset_rad
62,3.75,-15.0,7.5,4007.566881229186,7.566881229186038,2.5239763939913402e-08,0.0115407671071353,5.952883277364747,1.7235031877224742,0.014173127000266713,9.515166836636702e-05,4.757583418318351e-05
63,11.25,-15.0,7.5,4007.6557733324694,7.65577333246938,2.553626862064503e-08,0.013324738152308129,5.998451361783075,1.7231515795191648,0.014094449550309715,9.626946467845677e-05,4.813473233922839e-05
64,-11.25,-7.5,7.5,4007.410145907819,7.410145907818787,2.4716964335619703e-08,0.007414211888760403,6.027997252747307,1.7232907264864232,0.014145266605231296,9.318076029098853e-05,4.6590380145494266e-05
65,-3.75,-7.5,7.5,4007.4709690183627,7.470969018362666,2.4919843290068935e-08,0.009237148841564204,6.079163678738195,1.7235954621127987,0.014195132066800785,9.394559593042736e-05,4.697279796521368e-05
66,3.75,-7.5,7.5,4007.545827252013,7.545827252013169,2.516953719817601e-08,0.011076218390597968,6.1134044955178535,1.7234173723940034,0.014170929684770005,9.488691978725374e-05,4.744345989362687e-05
67,11.25,-7.5,7.5,4007.634719822289,7.634719822288844,2.5466043436587203e-08,0.012924495219922607,6.137873432813684,1.7233945138308189,0.014175911664256852,9.600472197165711e-05,4.8002360985828556e-05
68,-11.25,0.0,7.5,4007.403127653234,7.403127653234151,2.4693554547145266e-08,0.00717411726095045,0.0,1.729817029040813,0.014342857176501942,9.309250746759648e-05,4.654625373379824e-05
69,-3.75,0.0,7.5,4007.4639508702976,7.4639508702975945,2.489643385689658e-08,0.009045577981700385,0.0,1.7298358960586926,0.014347989056862732,9.385734444649259e-05,4.6928672223246294e-05
70,3.75,0.0,7.5,4007.5388092350427,7.538809235042663,2.5146128202277063e-08,0.010916975341091697,0.0,1.729833891259295,0.014349183849354453,9.479866995180087e-05,4.7399334975900437e-05
71,11.25,0.0,7.5,4007.627701960984,7.6277019609838135,2.5442634959919325e-08,0.012788296235370464,0.0,1.729832986958879,0.014349608038261776,9.591647409365926e-05,4.795823704682963e-05
72,-11.25,7.5,7.5,4007.410145907819,7.410145907818787,2.4716964335619703e-08,0.007414211888760403,0.2551880544322799,1.7296221221043069,0.014307012589431298,9.318076029098853e-05,4.6590380145494266e-05
73,-3.75,7.5,7.5,4007.4709690183627,7.470969018362666,2.4919843290068935e-08,0.009237148841564204,0.20402162844139152,1.7298415177663478,0.01434945755522331,9.394559593042736e-05,4.697279796521368e-05
74,3.75,7.5,7.5,4007.545827252013,7.545827252013169,2.516953719817601e-08,0.011076218390597968,0.16978081166173264,1.7296537845578852,0.014286680276876317,9.488691978725374e-05,4.744345989362687e-05
75,11.25,7.5,7.5,4007.634719822289,7.634719822288844,2.5466043436587203e-08,0.012924495219922607,0.14531187436590212,1.7295512586946609,0.014303629377921175,9.600472197165711e-05,4.8002360985828556e-05
76,-11.25,15.0,7.5,4007.431200597825,7.4312005978249545,2.478719345505322e-08,0.008091858757929126,0.4808967899793665,1.7298458551320448,0.01435236618930029,9.344551783380504e-05,4.672275891690252e-05
77,-3.75,15.0,7.5,4007.4920233888147,7.492023388814687,2.4990071343611363e-08,0.009789388830641262,0.3923466417469824,1.729839776151244,0.014348599660392708,9.421034945492913e-05,4.710517472746456e-05
78,3.75,15.0,7.5,4007.566881229186,7.566881229186038,2.5239763939913402e-08,0.0115407671071353,0.33030202981483875,1.7298326501770735,0.01434933399131115,9.515166836636702e-05,4.757583418318351e-05
79,11.25,15.0,7.5,4007.6557733324694,7.65577333246938,2.553626862064503e-08,0.013324738152308129,0.28473394539651126,1.7298348287553558,0.014371661623985952,9.626946467845677e-05,4.813473233922839e-05
80,-11.25,-15.0,15.0,4014.930955514668,14.930955514667858,4.980305375139379e-08,0.008076743111096164,5.802288517200219,1.7232934061251246,0.014174125930860058,0.00018775308935005958,9.387654467502979e-05
81,-3.75,-15.0,15.0,4014.9916646924657,14.991664692465747,5.000555267667027e-08,0.009771102555178218,5.890838665432604,1.723429629357112,0.014184836375290916,0.00018851649231326967,9.425824615663483e-05
82,3.75,-15.0,15.0,4015.066382707766,15.066382707766024,5.02547788784724e-08,0.011519209846635223,5.952883277364747,1.7235032837650721,0.01417313417137191,0.00018945605295886606,9.472802647943303e-05
83,11.25,-15.0,15.0,4015.1551087784983,15.155108778498288,5.0550729748159734e-08,0.013299849305871175,5.998451361783075,1.7231514564313593,0.014094395997343618,0.00019057176145250595,9.528588072625297e-05
84,-11.25,-7.5,15.0,4014.909940154315,14.909940154314882,4.973295581826178e-08,0.007400361994103097,6.027997252747307,1.7232908467664658,0.014145288944990323,0.00018748882636794836,9.374441318397418e-05
85,-3.75,-7.5,15.0,4014.9706496498793,14.970649649879306,4.993545580346666e-08,0.009219894012786426,6.079163678738195,1.7235952979042175,0.014195117809719927,0.0001882522333269944,9.41261166634972e-05
