arm_length_m,test_mass_kg,snr_year
1710.0,40.0,6.571719753126885e-10
1720.0,40.0,6.570308088430977e-10
1730.0,40.0,6.568962738110072e-10
1740.0,40.0,6.567511943449655e-10
1750.0,40.0,6.566025593421814e-10
1760.0,40.0,6.564525742304032e-10
1770.0,40.0,6.562878298837692e-10
1780.0,40.0,6.561293745932019e-10
1790.0,40.0,6.559970644505566e-10
1800.0,40.0,6.557976240480061e-10
1810.0,40.0,6.556251961171349e-10
1820.0,40.0,6.55486323472394e-10
1830.0,40.0,6.552680366757535e-10
1840.0,40.0,6.550825286457582e-10
1850.0,40.0,6.548946370319922e-10
1860.0,40.0,6.547029330471071e-10
1870.0,40.0,6.545072998960804e-10
1880.0,40.0,6.543092943867945e-10
1890.0,40.0,6.541053823053177e-10
1900.0,40.0,6.538978468736956e-10
1910.0,40.0,6.53689409374173e-10
1920.0,40.0,6.534751660837654e-10
1930.0,40.0,6.532569186116932e-10
1940.0,40.0,6.530341921516298e-10
1950.0,40.0,6.528066461994515e-10
1960.0,40.0,6.525630558569978e-10
1970.0,40.0,6.523297015411611e-10
1980.0,40.0,6.520939522569383e-10
1990.0,40.0,6.518648960065854e-10
2000.0,40.0,6.516190306765731e-10
2010.0,40.0,6.513703024182233e-10
2020.0,40.0,6.511177292180554e-10
2030.0,40.0,6.508623878108e-10
2040.0,40.0,6.506019169755163e-10
2050.0,40.0,6.503380585803062e-10
2060.0,40.0,6.50070385466651e-10
2070.0,40.0,6.497984833399386e-10
2080.0,40.0,6.495218586574135e-10
2090.0,40.0,6.492414507170989e-10
2100.0,40.0,6.489590256029796e-10
2110.0,40.0,6.486720096069273e-10
2120.0,40.0,6.483800976563184e-10
2130.0,40.0,6.480846004423736e-10
2140.0,40.0,6.477857415925758e-10
2150.0,40.0,6.474833471603214e-10
2160.0,40.0,6.471772682037961e-10
2170.0,40.0,6.468674118685544e-10
2180.0,40.0,6.465537142898147e-10
2190.0,40.0,6.462361152717697e-10
2200.0,40.0,6.459145648267386e-10
2210.0,40.0,6.455890182106122e-10
2220.0,40.0,6.4525959168962e-10
2230.0,40.0,6.449257531945725e-10
2240.0,40.0,6.445879384698387e-10
2250.0,40.0,6.442462004462193e-10
2260.0,40.0,6.439005489472262e-10
2270.0,40.0,6.435509504182735e-10
2280.0,40.0,6.43197350711346e-10
2290.0,40.0,6.428396984966728e-10
2300.0,40.0,6.424779625429871e-10
2310.0,40.0,6.421121264679804e-10
2320.0,40.0,6.417421855085367e-10
2330.0,40.0,6.413681406239422e-10
2340.0,40.0,6.409899934197834e-10
2350.0,40.0,6.406077391911928e-10
2360.0,40.0,6.402213762045927e-10
2370.0,40.0,6.398308966779472e-10
2380.0,40.0,6.394362911570943e-10
2390.0,40.0,6.390375469119508e-10
2400.0,40.0,6.386346527657908e-10
2410.0,40.0,6.382275952441698e-10
2420.0,40.0,6.378163616341082e-10
2430.0,40.0,6.374009377753481e-10
2440.0,40.0,6.369813077877291e-10
2450.0,40.0,6.365574607972451e-10
2460.0,40.0,6.361293836278031e-10
2470.0,40.0,6.356970609895624e-10
2480.0,40.0,6.352604826942672e-10
2490.0,40.0,6.348196356093973e-10
2500.0,40.0,6.343745081954645e-10
2510.0,40.0,6.339250908603471e-10
2520.0,40.0,6.334713730626488e-10
2530.0,40.0,6.330114000599667e-10
2540.0,40.0,6.325495498378495e-10
2550.0,40.0,6.320833049484296e-10
2560.0,40.0,6.31612643354977e-10
2570.0,40.0,6.311375081024754e-10
2580.0,40.0,6.306577797495481e-10
