source_id,x_m,y_m,z_m,distance_to_detector_m,distance_offset_m,propagation_compensation_s,theta_src,phi_src,theta_rot,phi_rot,gw_phase_offset_rad,rotor_phase_offset_rad
22,3.75,-15.0,-7.5,3994.348169071319,-5.651830928681193,-1.8852004431891903e-08,0.20470338821638448,5.947360698754567,1.7242421215944874,0.014120924550214495,-0.0015732878512939585,-0.0007866439256469793
23,11.25,-15.0,-7.5,3995.79435959369,-4.205640406310067,-1.4028153456671337e-08,0.20643942693592435,5.950378382562652,1.7260798428127946,0.01424897686884633,-0.0015551023615509862,-0.0007775511807754931
24,-11.25,-7.5,-7.5,3991.0007295779274,-8.999270422072641,-3.0017579793437764e-08,0.20062330016507257,5.9500486824404994,1.7205881868181718,0.013942557395750987,-0.001615381078728717,-0.0008076905393643585
25,-3.75,-7.5,-7.5,3992.4199543496043,-7.580045650395732,-2.5283674617730926e-08,0.2023638925519864,5.953105153930379,1.722428888094612,0.01406889178872578,-0.0015975346766614607,-0.0007987673383307303
26,3.75,-7.5,-7.5,3993.8527589642367,-6.1472410357632725,-2.0504473101278427e-08,0.2041050483886275,5.956108047808115,1.7242682716465334,0.014195220205133549,-0.0015795175114123872,-0.0007897587557061936
27,11.25,-7.5,-7.5,3995.299128811708,-4.700871188291785,-1.5680023976957256e-08,0.2058467075164287,5.959058707835463,1.7261063263663745,0.014321542628004263,-0.0015613297667007586,-0.0007806648833503793
28,-11.25,0.0,-7.5,3990.518999831275,-9.481000168725132,-3.162441684031065e-08,0.20002880830870812,5.958987636646705,1.7206138207370039,0.01402028883696769,-0.0016214387116830764,-0.0008107193558415382
29,-3.75,0.0,-7.5,3991.938395868822,-8.061604131177774,-2.688994039752426e-08,0.2017750892594898,5.961973959964859,1.722454850259734,0.014144889016199024,-0.0016035901559896537,-0.0008017950779948269
30,3.75,0.0,-7.5,3993.371373264587,-6.628626735413036,-2.2110162559749954e-08,0.2035218424065904,5.964907623596582,1.7253491476563139,0.014422443416833205,0.0012772633136881595,0.0006386316568440797
31,11.25,0.0,-7.5,3994.8179174033003,-5.182082596699729,-1.7285132077050463e-08,0.20526900968073558,5.967789959052683,1.727187753420409,0.014543621819358516,0.0012954532500697447,0.0006477266250348723
32,-11.25,7.5,-7.5,3990.051309511852,-9.948690488147804,-3.3184424576877265e-08,0.19944983174268835,5.967980618818827,1.7216938161371382,0.014259281757946399,0.0012355143294517923,0.0006177571647258961
33,-3.75,7.5,-7.5,3991.470871863478,-8.529128136522104,-2.8449393383996343e-08,0.2012016834748195,5.970895418275396,1.723535385013715,0.014378729869659221,0.0012533649765038568,0.0006266824882519284
34,3.75,7.5,-7.5,3992.90401704473,-7.095982955269847,-2.3669055888158262e-08,0.20295391717878802,5.973758520433495,1.7253756350295575,0.014498176348872634,0.0012713864242943629,0.0006356932121471814
35,11.25,7.5,-7.5,3994.3507304353343,-5.649269564665701,-1.8843460856123086e-08,0.20470647688046076,5.9765712428537885,1.7272145550703437,0.014617621175198282,0.0012895784889765949,0.0006447892444882974
36,-11.25,15.0,-7.5,3989.597663557078,-10.402336442922206,-3.469758653409675e-08,0.19888652232320672,5.977026652633407,1.721719834810398,0.014338456767339811,0.0012298098432657056,0.0006149049216328528
37,-3.75,15.0,-7.5,3991.0173872657383,-8.982612734261693,-2.9962017125622725e-08,0.20064382339557277,5.979868566470259,1.723561712615107,0.014456167051568623,0.0012476625193427182,0.0006238312596713591
38,3.75,15.0,-7.5,3992.450695231538,-7.549304768462207,-2.5181136652642452e-08,0.2024014173558867,5.982659789881473,1.7254022710212633,0.014573877221345491,0.0012656860141087023,0.0006328430070543511
39,11.25,15.0,-7.5,3993.897572829346,-6.1024271706542095,-2.0354993898112773e-08,0.2041592503270493,5.985401624753126,1.727241498910789,0.014691587263619153,0.001283880143656102,0.000641940071828051
40,-11.25,-15.0,0.0,3998.8454309785825,-1.154569021417501,-3.851130825275187e-09,0.20085827416672353,5.941164686299197,1.720155708202223,0.013814981735438344,-0.0014695407736997623,-0.0007347703868498812
41,-3.75,-15.0,0.0,4000.261872584798,0.2618725847978567,8.734909432883813e-10,0.20259001030167773,5.944289918114158,1.7219928362111763,0.013942561719393802,-0.0014517293692528632,-0.0007258646846264316
42,3.75,-15.0,0.0,4001.6918694038627,1.691869403862711,5.643326897474019e-09,0.20432240544432084,5.947360698754567,1.7238286542318657,0.014070134250795287,-0.001433747511341732,-0.000716873755670866
